V1,V2,V3,V4,V4,V5,class
0.445238462,0.505075484,-0.820383398,0.995991373,Yes,0.032069017,1
0.498503907,0.439430528,-0.542830517,0.931169794,No,0.55064165,1
0.510062189,0.439430528,-0.542830517,0.931169794,Yes,0.55064165,1
0.239149082,0.463595125,-0.744533353,0.997583871,No,0.019329032,1
0.348373652,0.464238137,-0.599760131,0.951382507,Yes,0.388939941,1
0.293408856,0.479614378,-0.815642677,0.996961806,No,0.024305556,1
0.31843841,0.685886783,-0.518844163,0.992056844,Yes,0.063545246,1
0.250385804,0.543856946,-0.640525879,0.964617486,No,0.283060109,1
0.278367857,0.475202729,-0.643369121,0.953512588,Yes,0.371899297,1
0.23973924,0.495906065,-0.457082447,0.933654455,Yes,0.530764358,1
0.349811423,0.461488492,-0.744213391,0.995633272,Yes,0.034933826,1
0.355082542,0.472381607,-0.772054516,0.997145159,Yes,0.022838728,1
0.308522747,0.530844148,-0.47175027,0.92517934,Yes,0.59856528,1
0.506450732,0.427812774,-0.49471876,0.934834906,Yes,0.521320755,1
0.328980222,0.53848353,-0.805441275,0.99551193,Yes,0.035904557,1
0.362057921,0.53157756,-0.731976336,0.974290838,Yes,0.205673299,1
0.241598336,0.591647038,-0.650372512,0.968124995,Yes,0.255000043,1
0.245041561,0.463517242,-0.545612539,0.936940068,Yes,0.504479456,1
0.290019424,0.4241469,-0.55242566,0.943511746,Yes,0.451906028,1
0.367773816,0.467556536,-0.623544685,0.94983928,Yes,0.401285758,1
0.345508288,0.41888307,-0.472774128,0.932709212,No,0.538326301,1
0.45861926,0.452447378,-0.451240234,0.921502101,Yes,0.627983192,1
0.366795185,0.568598778,-0.82030234,0.996330107,No,0.029359141,1
0.403943754,0.57983162,-0.593824077,0.960308551,Yes,0.317531589,1
0.494483766,0.849506928,-0.407019204,0.994817374,No,0.041461007,1
0.557421022,0.452763423,-0.565749543,0.93947586,Yes,0.484193122,1
0.547494088,0.497361854,-0.670945564,0.961914063,No,0.3046875,1
0.543058641,0.497361854,-0.670945564,0.961914063,Yes,0.3046875,1
0.285973369,0.557568426,-0.578052432,0.960113792,No,0.319089661,1
0.260907317,0.463036422,-0.69573454,0.965606332,Yes,0.275149343,1
0.296818397,0.433939685,-0.622040094,0.95035061,No,0.397195122,1
0.33846935,0.50130249,-0.803863099,0.980916593,Yes,0.152667256,1
0.509430868,0.432220527,-0.510348275,0.944338874,No,0.445289011,1
0.354475411,0.489623946,-0.55582125,0.950802858,Yes,0.393577133,1
0.301366005,0.415673497,-0.532506361,0.938830856,No,0.489353154,1
0.288804346,0.434403844,-0.620286804,0.948637134,Yes,0.41090293,1
0.396593734,0.435915674,-0.624329815,0.9485945,No,0.411243999,1
0.427264384,0.550859572,-0.574583152,0.950740132,Yes,0.394078947,1
0.266860223,0.500311171,-0.788208891,0.977142879,No,0.182856965,1
0.554362812,0.461081225,-0.715514866,0.96538083,Yes,0.276953362,1
0.478979725,0.463381981,-0.737984392,0.967035916,No,0.263712668,1
0.32851063,0.789196393,-0.22438994,0.994894145,Yes,0.040846836,1
0.347119649,0.448015948,-0.450351547,0.912205387,No,0.702356902,1
0.327363069,0.59594032,-0.679372611,0.995774215,Yes,0.033806281,1
0.308949247,0.494193454,-0.743275911,0.992203539,No,0.062371684,1
0.227071772,0.462370722,-0.752913599,0.99744132,Yes,0.020469439,1
0.250084327,0.646738351,-0.608555096,0.997691505,No,0.018467957,1
0.266535585,0.554631216,-0.625877749,0.969003589,Yes,0.247971286,1
0.342800501,0.511126109,-0.580899032,0.957424961,No,0.340600316,1
0.43909823,0.438440615,-0.517539347,0.941525073,Yes,0.467799418,1
0.475113914,0.444963765,-0.66523679,0.95978819,No,0.32169448,1
0.369829473,0.429468914,-0.601411227,0.950611111,Yes,0.395111111,1
0.264723663,0.515600073,-0.872949133,0.986060049,No,0.111519608,1
0.349002204,0.539686025,-0.825877276,0.985378689,Yes,0.116970486,1
0.421224595,0.476259429,-0.80449803,0.984957159,No,0.120342731,1
0.529807183,0.474638559,-0.825232879,0.97545582,Yes,0.196353436,1
0.320390267,0.517055886,-0.805198645,0.982839912,No,0.137280702,1
0.268803221,0.480525891,-0.855902562,0.985957502,Yes,0.112339985,1
0.323113506,0.574812005,-0.720167179,0.985429448,No,0.116564417,1
0.472763688,0.537434907,-0.708261345,0.980292793,Yes,0.157657658,1
0.293544463,0.52460863,-0.820063403,0.988149653,No,0.094802776,1
0.247497681,0.487565686,-0.806977025,0.982376733,Yes,0.140986133,1
0.26344739,0.516580819,-0.725089114,0.969279287,No,0.245765702,1
0.4234469,0.537434907,-0.708261345,0.980292793,Yes,0.157657658,1
0.563830127,0.474638559,-0.825232879,0.97545582,No,0.196353436,1
0.309941492,0.517055886,-0.805198645,0.982839912,Yes,0.137280702,1
0.289240626,0.480525891,-0.855902562,0.985957502,No,0.112339985,1
0.31020926,0.574812005,-0.720167179,0.985429448,Yes,0.116564417,1
0.341403478,0.539686025,-0.825877276,0.985378689,No,0.116970486,1
0.357778032,0.466317744,-0.773448556,0.979913214,Yes,0.160694289,1
0.240779993,0.507037345,-0.752551562,0.983886946,No,0.128904429,1
0.375491168,0.482166054,-0.86744693,0.986775389,Yes,0.105796889,1
0.252718302,0.508668687,-0.707756921,0.966640625,No,0.266875,1
0.569310066,0.478098674,-0.76025719,0.9765625,Yes,0.1875,1
0.232065452,0.474523135,-0.781708715,0.982863049,No,0.137095604,1
0.493714863,0.462347319,-0.733897149,0.977038043,Yes,0.183695652,1
0.375491168,0.463055496,-0.726214899,0.973567708,No,0.211458333,1
0.247613238,0.47879482,-0.846670651,0.985735366,Yes,0.114117068,1
0.366552275,0.494575269,-0.828570459,0.98079536,No,0.153637124,1
0.366552275,0.480126644,-0.8552117,0.984734405,Yes,0.122124756,1
0.401421214,0.604440885,-0.693570875,0.977016129,No,0.183870968,1
0.37141922,0.484381655,-0.871927652,0.981267756,Yes,0.149857955,1
0.395614959,0.486317223,-0.797328186,0.978932244,No,0.168542045,1
0.240087837,0.474294003,-0.809859154,0.979259259,Yes,0.165925926,1
0.28885715,0.482724776,-0.812492288,0.987200436,No,0.102396514,1
0.437802971,0.479709069,-0.825029315,0.983464694,Yes,0.132282448,1
0.452424081,0.49255131,-0.740364716,0.966781018,No,0.265751858,1
0.286308487,0.466141099,-0.758349203,0.978543586,Yes,0.171651311,1
0.39926977,0.478343448,-0.777284549,0.979707977,No,0.162336182,1
0.402115749,0.473156526,-0.814537668,0.986553183,Yes,0.107574537,1
0.245064394,0.500422514,-0.756826804,0.984049479,No,0.127604167,1
0.441571575,0.462347319,-0.733897149,0.977038043,Yes,0.183695652,1
0.367943867,0.47590212,-0.756334346,0.976032022,No,0.191743827,1
0.312750986,0.486777129,-0.836553079,0.982619104,Yes,0.139047167,1
0.429633327,0.478343448,-0.777284549,0.979707977,No,0.162336182,1
0.482353358,0.473156526,-0.814537668,0.986553183,Yes,0.107574537,1
0.427849571,0.479709069,-0.825029315,0.983464694,No,0.132282448,1
0.356654148,0.540661828,-0.794667929,0.982546543,Yes,0.13962766,1
0.333079706,0.476510591,-0.803024934,0.983995726,No,0.128034188,1
0.464684785,0.485132175,-0.837856179,0.984708738,Yes,0.122330097,1
0.265839306,0.47140207,-0.79077572,0.984178765,No,0.126569876,1
0.249513658,0.503385041,-0.884944415,0.981578947,Yes,0.147368421,1
0.436898741,0.479990929,-0.845582564,0.982979033,No,0.136167734,1
0.394025132,0.497334647,-0.860100221,0.981431732,Yes,0.148546144,1
0.385841479,0.465304955,-0.744326766,0.981915739,No,0.144674086,1
0.38844287,0.474787884,-0.817866304,0.978502155,Yes,0.171982759,1
0.536360177,0.47456184,-0.819988132,0.98444875,No,0.124409999,1
0.228959536,0.516580819,-0.725089114,0.969279287,Yes,0.245765702,1
0.105265377,0.486134487,-0.798218947,0.993830856,No,0.049353154,2
0.204971238,0.468364598,-0.775945361,0.996837623,Yes,0.025299016,2
0.16717811,0.50959509,-0.786775306,0.994114734,No,0.047082124,2
0.17247239,0.468364598,-0.775945361,0.996837623,Yes,0.025299016,2
0.138833069,0.452913951,-0.451671885,0.909939476,No,0.720484189,2
0.120146439,0.545462265,-0.655832019,0.966521329,Yes,0.267829365,2
0.207942211,0.544709922,-0.727141034,0.964222222,No,0.286222222,2
0.171295733,0.504075672,-0.869824146,0.9847189,Yes,0.122248804,2
0.149702112,0.501920017,-0.892556616,0.983893819,No,0.128849449,2
0.155524335,0.493399732,-0.753510683,0.978142347,Yes,0.174861221,2
0.127349548,0.469606686,-0.759327606,0.967968026,No,0.256255792,2
0.171519047,0.487779051,-0.77784067,0.968047753,Yes,0.255617978,2
0.204694983,0.479990929,-0.845582564,0.982979033,No,0.136167734,2
0.205936272,0.468002382,-0.773084066,0.98286644,Yes,0.137068478,2
0.175379329,0.505024683,-0.817893433,0.985625919,No,0.114992648,2
0.126252888,0.506116093,-0.830426903,0.985463576,Yes,0.116291391,2
0.120627577,0.48096936,-0.80618369,0.98314391,No,0.134848724,2
0.134324319,0.47879482,-0.846670651,0.985735366,Yes,0.114117068,2
0.14531796,0.604440885,-0.693570875,0.977016129,No,0.183870968,2
0.169923004,0.484381655,-0.871927652,0.981267756,Yes,0.149857955,2
0.149773216,0.47692744,-0.796169764,0.98222061,No,0.142235123,2
0.154564472,0.508668687,-0.707756921,0.966640625,Yes,0.266875,2
0.177494286,0.515600073,-0.872949133,0.986060049,No,0.111519608,2
0.197293955,0.485652657,-0.770983544,0.980287971,Yes,0.157696228,2
0.158009605,0.478110138,-0.748400151,0.977595156,No,0.179238754,2
0.193359068,0.487779051,-0.77784067,0.968047753,Yes,0.255617978,2
0.19802013,0.468002382,-0.773084066,0.98286644,No,0.137068478,2
0.199232871,0.490304211,-0.842240792,0.981555528,Yes,0.147555774,2
0.148413719,0.505024683,-0.817893433,0.985625919,No,0.114992648,2
0.203932883,0.484388805,-0.867868931,0.986717907,Yes,0.106256742,2
0.203644591,0.485287052,-0.853716756,0.982954545,No,0.136363636,2
0.116544151,0.484388805,-0.867868931,0.986717907,Yes,0.106256742,2
0.118076369,0.485287052,-0.853716756,0.982954545,No,0.136363636,2
0.203644591,0.4800523,-0.856498435,0.982927232,Yes,0.136582147,2
0.465254448,0.439118388,-0.519563886,0.937122102,No,0.503023185,3
0.957631093,0.448533,-0.650516639,0.960981062,Yes,0.312151507,3
0.540630997,0.448613396,-0.58500593,0.950091575,No,0.399267399,3
0.938229743,0.449279412,-0.592337747,0.950737096,Yes,0.39410323,3
0.640630997,0.548613396,-0.58500593,0.950091575,No,0.399267399,3
0.738229743,0.449279412,-0.592337747,0.950737096,Yes,0.39410323,3
0.640630997,0.448613396,-0.58500593,0.950091575,No,0.399267399,3
0.838229743,0.449279412,-0.592337747,0.950737096,Yes,0.39410323,3
2.2,9.3,8.8,1.2,No,0.513023185,3
0.395254448,0.529118388,-0.499563886,0.917122102,No,0.513023185,3
0.395254448,0.529118388,-0.499563886,0.917122102,No,0.513023185,3
0.395254448,0.529118388,-0.499563886,0.917122102,No,0.513023185,3
0.395254448,0.529118388,-0.499563886,0.917122102,No,0.513023185,3
