pm10,so2,co,o3,no2,categori
26,15,22,67,6,0
48,15,24,50,6,1
34,15,23,51,4,0
52,22,19,36,8,0
43,20,18,106,8,2
44,17,19,83,8,0
53,18,26,60,7,0
72,17,45,77,10,0
56,19,25,62,11,0
24,15,15,49,3,1
50,30,55,182,7,2
48,20,21,62,6,0
21,15,14,73,5,0
34,16,19,46,7,1
32,15,22,55,7,0
21,15,12,88,3,0
18,15,11,89,2,0
20,14,15,83,5,0
40,18,17,52,7,0
16.0,16.0,5.0,29.0,4.0,1
61.0,15.0,28.0,198.0,8.0,2
41.0,13.0,26.0,128.0,8.0,2
65.0,12.0,32.0,99.0,9.0,0
62.0,15.0,22.0,47.0,5.0,0
29.0,19.0,22.0,47.0,12.0,1
63.0,19.0,33.0,118.0,15.0,2
52.0,12.0,22.0,64.0,10.0,0
48.0,11.0,19.0,80.0,11.0,0
24.0,18.0,22.0,73.0,9.0,0
53.0,23.0,22.0,33.0,11.0,0
33.0,14.0,7.0,64.0,11.0,0
36.0,15.0,6.0,39.0,20.0,1
55.0,19.0,14.0,105.0,10.0,2
33.0,19.0,7.0,113.0,26.0,2
61.0,22.0,13.0,66.0,14.0,0
47.0,16.0,13.0,64.0,18.0,0
38.0,19.0,19.0,27.0,13.0,1
33.0,22.0,8.0,33.0,16.0,1
40.0,19.0,13.0,36.0,15.0,1
49.0,22.0,19.0,33.0,18.0,1
48.0,23.0,13.0,58.0,13.0,0
32.0,20.0,9.0,49.0,7.0,1
45.0,20.0,14.0,45.0,14.0,1
24.0,19.0,9.0,45.0,13.0,1
32.0,19.0,20.0,35.0,13.0,1
56.0,20.0,26.0,53.0,17.0,0
45.0,19.0,14.0,52.0,12.0,0
41.0,20.0,32.0,36.0,14.0,1
35.0,19.0,11.0,29.0,12.0,1
28.0,19.0,15.0,43.0,12.0,1
50.0,22.0,16.0,39.0,17.0,1
31.0,18.0,7.0,42.0,7.0,1
39.0,18.0,29.0,32.0,15.0,1
34.0,18.0,12.0,33.0,11.0,1
23.0,19.0,13.0,46.0,16.0,1
45.0,19.0,12.0,43.0,17.0,1
21.0,13.0,3.0,40.0,1.0,1
20.0,13.0,4.0,47.0,2.0,1
23.0,13.0,4.0,46.0,2.0,1
42.0,11.0,7.0,38.0,3.0,1
54.0,11.0,10.0,40.0,3.0,0
71.0,11.0,16.0,132.0,8.0,2
40.0,10.0,7.0,143.0,3.0,2
55.0,10.0,12.0,158.0,6.0,2
49.0,12.0,16.0,127.0,3.0,2
54.0,12.0,18.0,91.0,4.0,0
72.0,10.0,18.0,53.0,10.0,0
31.0,7.0,6.0,64.0,5.0,0
39.0,7.0,8.0,58.0,4.0,0
20.0,7.0,6.0,48.0,4.0,1
44.0,8.0,13.0,63.0,7.0,0
60.0,11.0,25.0,82.0,12.0,0
52.0,10.0,14.0,94.0,8.0,0
23.0,9.0,12.0,92.0,8.0,0
40.0,9.0,24.0,70.0,9.0,0
36.0,9.0,13.0,81.0,9.0,0
32.0,8.0,25.0,74.0,9.0,0
50.0,9.0,33.0,67.0,8.0,0
56.0,9.0,39.0,74.0,8.0,0
53.0,9.0,25.0,77.0,6.0,0
46.0,9.0,22.0,88.0,6.0,0
47.0,10.0,32.0,67.0,9.0,0
56.0,10.0,21.0,54.0,7.0,0
16.0,7.0,6.0,24.0,3.0,1
17.0,7.0,5.0,25.0,4.0,1
15.0,7.0,5.0,26.0,4.0,1
32.0,8.0,9.0,48.0,8.0,1
50.0,9.0,10.0,51.0,8.0,0
61.0,11.0,22.0,93.0,11.0,0
70.0,17.0,16.0,62.0,11.0,0
51.0,22.0,11.0,84.0,15.0,0
57.0,26.0,17.0,45.0,10.0,0
61.0,24.0,15.0,55.0,11.0,0
54.0,25.0,20.0,30.0,11.0,0
47.0,27.0,15.0,44.0,10.0,1
27.0,23.0,8.0,26.0,5.0,1
33.0,23.0,14.0,15.0,9.0,1
25.0,23.0,7.0,18.0,5.0,1
38.0,24.0,10.0,20.0,7.0,1
52.0,26.0,32.0,28.0,11.0,0
47.0,24.0,15.0,37.0,9.0,1
31.0,24.0,14.0,38.0,9.0,1
46.0,23.0,23.0,32.0,9.0,1
39.0,19.0,19.0,33.0,10.0,1
26.0,15.0,23.0,27.0,7.0,1
43.0,14.0,37.0,39.0,9.0,1
40.0,13.0,49.0,33.0,8.0,1
32.0,20.0,28.0,28.0,8.0,1
33.0,19.0,33.0,27.0,8.0,1
32.0,21.0,21.0,31.0,9.0,1
24.0,19.0,15.0,36.0,8.0,1
10.0,10.0,7.0,44.0,4.0,1
7.0,11.0,6.0,44.0,3.0,1
9.0,10.0,6.0,35.0,2.0,1
39.0,12.0,10.0,26.0,5.0,1
33.0,12.0,9.0,45.0,5.0,1
59.0,14.0,25.0,63.0,10.0,0
33.0,15.0,13.0,95.0,12.0,0
24.0,13.0,10.0,76.0,12.0,0
44.0,13.0,20.0,64.0,21.0,0
12.0,11.0,18.0,49.0,16.0,1
63.0,13.0,22.0,39.0,11.0,0
45.0,21.0,19.0,47.0,16.0,1
53.0,12.0,19.0,70.0,11.0,0
41.0,13.0,20.0,49.0,15.0,1
46.0,25.0,13.0,59.0,13.0,0
25.0,14.0,8.0,43.0,6.0,1
46.0,15.0,12.0,49.0,10.0,1
16.0,11.0,7.0,31.0,1.0,1
22.0,9.0,16.0,45.0,8.0,1
69.0,9.0,39.0,63.0,10.0,0
56.0,9.0,22.0,59.0,7.0,0
16.0,9.0,18.0,41.0,8.0,1
52.0,9.0,28.0,36.0,11.0,0
48.0,9.0,17.0,37.0,8.0,1
53.0,9.0,31.0,53.0,15.0,0
49.0,9.0,34.0,44.0,9.0,1
32.0,9.0,17.0,37.0,8.0,1
20.0,5.0,22.0,44.0,9.0,1
44.0,16.0,12.0,49.0,8.0,1
30,20,10,32,9,1
27,22,12,29,8,1
39,22,14,32,10,1
34,22,14,38,10,1
35,22,12,31,9,1
46,23,16,32,9,1
37,23,26,33,11,1
41,26,20,30,11,1
52,23,29,24,12,0
24,24,18,25,8,1
34,31,25,23,8,1
27,23,9,33,4,1
33,26,12,36,8,1
34,28,13,27,7,1
29,22,13,36,8,1
52,60,19,30,8,0
51,34,21,74,20,0
37,29,14,31,6,1
61,34,36,58,15,0
47,30,15,33,9,1
30,36,14,26,9,1
40,36,18,28,15,1
49,11,23,38,19,1
38,12,21,35,20,1
44,10,22,25,16,1
31,7,8,41,5,1
23,7,9,35,6,1
47,7,16,45,8,1
45,7,10,44,8,1
41,7,11,44,6,1
54,7,16,41,8,0
46,7,30,45,8,1
51,8,17,48,8,0
64,7,24,45,10,0
43,8,19,32,9,1
44,8,20,35,9,1
34,7,11,34,5,1
37,8,9,35,7,1
32,8,7,35,9,1
33,7,11,37,9,1
51,7,16,39,10,0
86,14,26,81,11,0
41,7,10,44,7,1
73,10,50,92,15,0
53,8,13,35,6,0
34,7,11,30,8,1
62,10,15,44,7,0
39,8,12,26,8,1
55,10,21,25,7,0
30,7,24,28,8,1
58,12,30,75,7,0
48,11,10,83,7,0
52,8,19,67,6,0
34,7,9,40,7,1
53,7,15,35,7,0
52,12,25,57,4,0
62,11,39,46,7,0
47,10,20,44,5,1
67,11,58,46,13,0
44,11,16,63,6,0
67,11,41,78,12,0
52,12,40,119,12,2
44,12,25,60,5,0
76,14,62,110,10,2
50,12,20,65,6,0
62,12,41,50,15,0
58,12,43,64,13,0
53,14,24,59,6,0
50,14,31,44,12,1
40,14,34,35,5,1
45,15,43,84,9,0
36,14,29,78,11,0
62,13,39,74,9,0
70,13,42,79,10,0
45,14,27,54,8,0
45,36,25,46,5,1
51,37,15,46,6,0
48,38,14,51,5,0
40,39,19,50,5,1
56,37,33,41,6,0
50,38,18,47,6,1
52,40,16,47,5,0
82,38,31,30,6,0
44,37,18,33,6,1
36,38,20,30,5,1
43,38,9,43,2,1
33,38,11,51,3,0
32,32,11,48,6,1
35,29,10,52,5,0
70,30,37,63,5,0
71,29,36,125,6,2
59,30,15,75,6,0
76,31,71,94,5,0
56,31,13,50,7,0
54,30,17,50,4,0
82,31,25,53,5,0
60,32,20,44,7,0
71,30,22,29,5,0
37,29,26,35,3,1
63,30,29,71,4,0
47,30,13,73,4,0
63,30,27,92,5,0
33,30,14,80,5,0
56,30,18,37,5,0
22,15,24,102,7,2
44,17,21,63,7,0
40,18,19,85,9,0
37,21,18,62,5,0
58,18,28,64,9,0
36,18,39,66,9,0
49,21,22,70,10,0
60,14,41,71,11,0
25,17,17,47,7,1
36,17,22,80,9,0
24,18,13,46,3,1
34,24,15,50,4,1
40,26,17,33,7,1
25,16,15,51,4,0
65,18,30,57,5,0
67,20,35,98,10,0
41,18,17,52,7,0
76,18,50,66,7,0
43,16,19,45,8,1
52,18,21,41,8,0
57,17,34,47,9,0
55,15,29,50,10,0
46,15,27,40,7,1
36,14,27,80,6,0
57,16,42,89,7,0
31,14,17,58,7,0
65,16,35,65,9,0
56,17,25,73,5,0
27,19,16,61,8,0
46,16,24,44,7,1
59,10,23,51,15,0
61,11,24,73,15,0
60,26,21,45,16,0
58,25,20,29,16,0
58,22,23,43,13,0
57,27,22,42,13,0
63,23,12,41,7,0
60,23,17,36,10,0
60,21,22,72,15,0
62,26,20,32,14,0
59,20,18,105,14,2
72,20,18,105,17,2
58,23,23,39,13,0
62,23,24,51,19,0
64,23,27,65,19,0
66,22,23,49,16,0
55,22,26,34,18,0
62,22,22,64,22,0
57,19,18,69,12,0
59,20,24,79,21,0
64,25,23,42,15,0
62,22,20,52,19,0
66,23,25,75,25,0
65,22,21,38,21,0
59,15,17,47,13,0
66,14,15,73,13,0
65,14,27,53,17,0
64,20,26,63,15,0
63,21,22,64,13,0
69,12,10,70,9,0
71,20,11,74,10,0
69,16,7,78,9,0
63,13,12,91,8,0
58,10,6,50,8,0
56,9,4,52,6,0
61,11,6,53,8,0
66,13,9,111,8,2
57,10,7,82,6,0
67,13,10,50,9,0
64,8,8,147,6,2
74,7,14,149,5,2
70,9,9,59,5,0
72,10,13,77,6,0
68,10,7,82,9,0
73,10,9,63,8,0
68,14,9,49,7,0
66,7,8,91,5,0
67,7,11,100,7,0
83,10,9,62,10,0
76,11,7,70,8,0
79,9,15,123,11,2
83,10,9,55,9,0
73,10,6,54,9,0
75,9,8,77,8,0
75,7,9,70,7,0
79,10,11,99,10,0
83,11,13,78,11,0
59,12,12,90,9,0
60,12,11,81,11,0
63,14,12,85,9,0
66,12,19,78,12,0
58,11,16,80,10,0
55,11,14,82,10,0
55,13,9,58,7,0
55,14,13,84,9,0
53,12,12,65,7,0
58,14,14,91,15,0
65,14,14,63,9,0
58,13,15,77,11,0
49,12,11,88,10,0
74,14,19,134,12,2
67,13,22,77,18,0
78,12,15,83,10,0
64,12,12,89,12,0
65,13,13,87,11,0
63,15,13,51,11,0
67,13,13,87,9,0
79,13,14,90,9,0
71,12,14,107,10,2
75,14,19,78,12,0
64,13,14,92,11,0
76,13,37,98,16,0
64,14,11,96,9,0
62,12,11,94,7,0
73,13,15,104,9,2
74,11,17,129,9,2
77,12,26,81,15,0
71,13,23,94,10,0
64,26,12,96,12,0
71,26,13,88,11,0
63,28,15,77,10,0
77,25,14,60,9,0
67,26,15,75,10,0
61,26,13,69,13,0
55,26,6,51,6,0
55,27,8,72,6,0
69,26,13,82,18,0
64,31,11,85,15,0
71,28,16,52,12,0
67,28,17,60,13,0
57,27,11,163,9,2
80,29,16,160,9,2
65,26,13,62,9,0
76,27,16,92,12,0
59,27,11,91,12,0
64,27,15,69,9,0
63,28,16,46,12,0
64,27,13,78,9,0
60,27,10,86,5,0
61,25,14,104,7,2
83,28,20,77,12,0
69,28,9,65,10,0
66,27,9,79,8,0
90,27,14,115,9,2
74,27,13,100,10,0
83,27,23,75,10,0
68,28,13,77,10,0
62,18,20,71,12,0
50,21,10,48,6,1
50,22,11,56,7,0
67,17,17,84,8,0
60,28,14,79,8,0
64,24,16,50,10,0
65,24,17,64,9,0
67,22,16,90,8,0
84,23,22,126,12,2
68,22,23,64,14,0
69,22,19,84,12,0
64,21,16,107,13,2
74,22,18,77,11,0
62,23,17,58,9,0
75,23,16,113,10,2
63,22,13,88,6,0
67,21,18,121,7,2
66,25,19,65,14,0
69,21,16,92,8,0
75,23,19,124,9,2
63,23,15,95,11,0
58,24,12,72,9,0
66,23,17,95,9,0
70,19,19,91,7,0
73,20,24,99,12,0
67,21,15,88,6,0
50,6,18,69,15,0
53,5,22,72,14,0
40,4,13,62,10,0
55,4,18,48,11,0
53,9,20,35,13,0
33,6,11,39,9,1
43,5,9,34,8,1
29,4,13,71,8,0
37,5,17,76,15,0
45,8,20,56,16,0
48,8,22,64,22,0
67,8,22,72,18,0
55,9,25,68,21,0
52,7,21,59,16,0
46,7,27,56,24,0
50,9,16,70,17,0
52,9,23,42,14,0
52,10,20,44,12,0
52,11,16,68,16,0
62,12,25,79,17,0
62,13,23,66,13,0
61,14,17,91,15,0
65,9,20,76,17,0
63,10,20,75,13,0
63,14,20,62,15,0
71,10,22,113,16,2
62,8,28,69,21,0
59,14,26,51,14,0
57,13,16,58,12,0
60,9,12,104,7,2
59,8,17,106,9,2
52,9,15,77,10,0
67,14,14,75,7,0
64,10,13,52,6,0
50,23,5,52,4,0
51,13,5,52,5,0
44,10,8,105,8,2
51,10,11,92,10,0
57,11,14,71,8,0
57,12,13,87,7,0
62,9,14,92,10,0
67,9,13,105,9,2
68,10,14,72,9,0
57,9,18,93,10,0
62,11,7,89,4,0
68,12,14,68,10,0
69,12,9,53,10,0
80,27,11,61,11,0
87,18,19,94,13,0
79,10,14,65,12,0
80,16,10,110,10,2
70,11,10,79,9,0
66,12,11,70,7,0
89,19,12,73,10,0
84,19,10,67,11,0
81,14,20,137,12,2
65,11,13,81,10,0
69,12,11,173,10,2
63,12,8,57,8,0
57,11,11,76,5,0
58,11,23,101,9,2
50,11,12,89,6,0
75,11,18,82,9,0
73,11,20,65,9,0
50,11,10,75,7,0
67,11,22,100,11,0
60,11,20,98,14,0
54,10,20,112,8,2
66,10,24,107,10,2
60,11,21,93,8,0
59,13,10,74,9,0
64,13,13,86,14,0
77,12,34,79,16,0
72,12,16,103,10,2
76,13,19,122,13,2
71,12,17,134,10,2
79,13,15,93,11,0
77,13,22,82,11,0
70,13,20,80,14,0
67,13,15,142,11,2
64,13,13,143,17,2
64,14,13,106,17,2
63,14,16,83,12,0
53,23,13,71,7,0
56,23,15,82,7,0
53,23,17,69,8,0
71,24,19,71,10,0
82,25,26,56,12,0
51,23,7,55,5,0
45,24,6,54,5,0
50,22,9,65,9,0
48,23,14,85,11,0
57,23,15,68,9,0
56,24,19,104,10,2
57,24,18,89,11,0
79,24,23,148,12,2
73,25,18,71,9,0
52,24,18,90,11,0
61,24,15,91,7,0
75,25,17,72,11,0
62,27,9,59,11,0
70,26,19,89,12,0
84,25,27,88,12,0
75,27,13,97,11,0
74,28,18,133,10,2
69,26,18,81,12,0
72,27,17,90,8,0
84,26,20,82,14,0
73,27,19,67,11,0
65,26,25,116,17,2
69,29,17,82,17,0
62,29,14,85,9,0
64,27,15,83,8,0
63,17,19,89,9,0
70,15,22,88,8,0
55,15,18,71,8,0
72,16,20,61,8,0
58,21,18,50,6,0
44,17,11,55,6,0
43,16,11,51,4,0
36,13,11,68,4,0
47,14,18,98,8,0
57,16,19,88,8,0
55,15,19,105,9,2
68,17,18,108,8,2
70,19,18,96,9,0
68,16,20,82,8,0
53,15,26,99,11,0
57,19,16,88,7,0
60,17,24,71,8,0
56,21,13,52,9,0
60,21,17,92,11,0
78,20,24,99,12,0
68,23,17,99,9,0
68,25,19,121,9,2
72,20,20,90,8,0
76,24,19,103,12,2
80,21,25,89,11,0
71,23,21,69,10,0
79,23,19,141,10,2
68,20,17,116,9,2
63,25,14,84,11,0
55,26,13,79,11,0
50,14,10,45,9,1
44,14,7,37,8,1
41,14,4,31,8,1
45,18,4,28,8,1
56,18,6,60,12,0
69,18,7,74,13,0
55,16,5,65,9,0
59,15,5,33,10,0
58,14,6,41,12,0
67,16,10,34,10,0
63,16,6,40,10,0
49,15,6,58,13,0
60,16,6,61,10,0
60,15,6,61,12,0
70,13,8,54,13,0
67,16,8,35,11,0
56,15,5,49,8,0
60,17,6,56,9,0
57,15,6,47,11,0
61,17,12,67,17,0
63,16,6,61,10,0
67,20,6,34,11,0
53,18,7,41,15,0
53,15,7,77,11,0
76,19,13,64,23,0
70,18,10,61,19,0
65,20,6,42,14,0
72,21,6,47,11,0
68,20,5,57,11,0
75,20,6,53,15,0
53,23,17,52,10,0
41,21,10,46,8,1
43,21,12,45,11,1
53,31,11,39,11,0
62,21,12,87,12,0
67,22,16,84,14,0
60,18,10,63,11,0
66,18,11,51,12,0
65,21,9,57,13,0
65,21,11,56,14,0
63,17,8,61,8,0
55,22,10,76,12,0
68,24,10,80,12,0
64,30,11,63,11,0
71,19,13,81,12,0
73,19,11,56,10,0
74,23,12,53,12,0
67,18,13,75,9,0
54,18,10,63,10,0
73,21,18,72,15,0
67,18,11,67,7,0
68,22,12,69,10,0
58,22,10,70,11,0
58,18,11,124,19,2
80,25,29,79,19,0
78,21,22,81,18,0
75,22,11,64,11,0
75,25,11,64,10,0
76,23,11,66,15,0
78,24,13,69,12,0
52,17,22,59,5,0
48,17,20,53,4,0
56,2,18,36,7,0
54,3,17,60,8,0
59,2,16,79,7,0
53,2,19,96,15,0
61,2,23,56,7,0
77,2,38,58,9,0
62,2,21,61,8,0
54,4,17,66,8,0
40,2,14,71,9,0
47,2,14,69,6,0
62,3,18,65,5,0
60,3,20,48,9,0
62,3,20,75,8,0
52,3,14,57,6,0
59,3,20,51,8,0
58,3,17,58,6,0
71,6,19,53,6,0
54,12,21,61,7,0
52,12,16,60,7,0
76,12,37,77,12,0
70,13,21,81,10,0
64,13,18,69,7,0
70,13,16,81,6,0
71,14,15,78,6,0
65,13,18,65,9,0
61,22,19,58,4,0
50,22,14,49,5,1
43,21,12,41,4,1
55,22,13,35,3,0
56,24,11,79,4,0
64,24,13,87,5,0
66,26,16,74,5,0
72,23,13,45,4,0
81,24,19,57,5,0
63,24,9,70,4,0
50,22,9,72,4,0
54,23,10,75,4,0
63,23,12,72,4,0
76,23,14,62,3,0
74,24,13,43,3,0
70,23,14,59,4,0
63,24,12,64,4,0
54,22,10,53,4,0
70,23,16,59,7,0
60,22,12,53,4,0
63,25,11,44,5,0
53,22,14,57,5,0
44,22,10,82,3,0
77,22,53,77,9,0
78,24,23,86,6,0
68,25,14,52,5,0
80,24,12,69,3,0
78,24,11,66,4,0
79,23,13,70,5,0
59,10,19,69,10,0
42,10,9,57,7,0
40,9,10,48,3,1
49,12,17,41,2,1
55,13,14,96,2,0
59,13,14,98,4,0
51,11,10,95,4,0
56,12,17,53,3,0
60,12,27,61,3,0
56,12,24,61,6,0
13,13,8,79,9,0
5,11,8,97,8,0
53,11,10,99,7,0
54,12,12,97,8,0
60,13,10,95,8,0
57,17,10,59,9,0
52,13,13,73,8,0
57,15,14,79,9,0
57,11,12,75,7,0
60,12,19,92,13,0
57,12,14,90,8,0
59,15,12,65,9,0
49,13,15,69,12,0
52,11,11,85,13,0
76,16,38,85,17,0
71,14,23,97,13,0
55,14,11,64,7,0
58,16,10,71,7,0
56,15,10,90,11,0
67,15,16,86,10,0
50,13,29,16,15,1
30,19,24,21,12,1
38,16,15,47,15,1
52,21,32,42,22,0
40,15,28,29,21,1
46,15,25,29,17,1
45,17,39,66,16,0
56,18,41,33,27,0
48,14,29,109,21,2
48,17,22,52,11,0
28,15,20,25,10,1
41,15,20,17,12,1
43,14,28,50,16,1
47,16,30,99,18,0
57,29,28,60,16,0
47,15,42,28,12,1
30,19,18,33,9,1
31,19,18,21,8,1
25,16,18,12,6,1
21,15,16,25,8,1
23,3,16,24,10,1
30,7,20,28,9,1
25,6,15,19,8,1
16,5,9,28,4,1
18,5,14,19,7,1
44,8,29,32,12,1
29,6,25,53,15,0
44,5,36,47,18,1
53,6,34,54,20,0
40,6,25,79,16,0
51,8,35,94,18,0
38,19,13,36,14,1
50,51,11,30,11,0
46,23,6,78,8,0
51,22,18,61,18,0
44,21,12,64,22,0
40,20,11,42,19,1
55,24,26,48,17,0
76,25,31,54,23,0
67,35,22,92,27,0
60,26,16,164,19,2
55,23,15,44,18,0
30,20,9,34,12,1
50,27,14,43,22,1
54,26,14,80,36,0
59,23,19,85,35,0
60,26,21,47,15,0
39,21,12,48,8,1
42,20,13,47,10,1
33,19,14,28,6,1
27,8,8,33,12,1
35,8,9,37,9,1
31,8,11,45,12,1
26,7,7,39,15,1
19,7,5,40,2,1
21,7,7,37,7,1
58,10,24,53,16,0
43,11,12,72,14,0
56,7,15,96,11,0
62,13,18,69,17,0
62,18,14,87,11,0
60,11,26,84,11,0
52,9,18,70,7,0
45,10,25,62,11,0
53,10,22,77,9,0
55,11,20,104,13,2
47,10,17,79,11,0
54,9,24,60,18,0
52,10,23,83,14,0
78,11,37,155,14,2
63,10,22,111,11,2
54,10,17,122,8,2
54,10,16,36,12,0
40,10,13,51,6,0
35,10,14,102,8,2
57,11,52,72,18,0
71,11,21,69,10,0
55,10,23,70,10,0
51,9,13,59,6,0
52,9,13,65,6,0
